dm,time,width,snr
212.00,1254,9,50.49
212.00,1254,9,50.07
214.00,254,9,50.04
214.00,254,9,50.02
214.00,754,9,50.05
214.00,1252,9,50.50
214.00,1254,9,50.84
214.00,1254,9,50.29
214.00,1754,9,50.12
214.00,1754,9,50.11
216.00,254,9,50.32
216.00,254,9,50.55
216.00,754,9,50.02
216.00,754,9,50.09
216.00,1252,9,50.39
216.00,1254,9,51.26
216.00,1254,9,50.50
216.00,1754,9,50.43
216.00,1754,9,50.22
218.00,252,9,50.12
218.00,254,9,51.09
218.00,254,9,51.29
218.00,256,9,50.02
218.00,754,9,50.93
218.00,754,9,50.87
218.00,1252,9,50.94
218.00,1254,9,51.74
218.00,1254,9,51.21
218.00,1754,9,51.00
218.00,1754,9,51.09
218.00,1756,9,50.31
220.00,252,9,50.32
220.00,254,9,51.19
220.00,254,9,51.10
220.00,754,9,50.98
220.00,754,9,50.74
220.00,1252,9,51.13
220.00,1254,9,51.54
220.00,1254,9,50.87
220.00,1752,9,50.27
220.00,1754,9,51.41
220.00,1754,9,51.36
220.00,1756,9,50.11
222.00,252,9,50.95
222.00,254,9,51.83
222.00,254,9,51.62
222.00,256,9,50.12
222.00,752,9,50.69
222.00,754,9,51.61
222.00,754,9,51.31
222.00,756,9,50.21
222.00,1252,9,51.31
222.00,1254,9,51.90
222.00,1254,9,51.23
222.00,1256,9,50.11
222.00,1752,9,51.05
222.00,1754,9,52.08
222.00,1754,9,52.00
222.00,1756,9,50.66
224.00,252,9,51.57
224.00,254,9,52.25
224.00,254,9,51.81
224.00,256,9,50.27
224.00,752,9,51.20
224.00,754,9,52.05
224.00,754,9,51.79
224.00,756,9,50.63
224.00,1252,9,51.81
224.00,1254,9,52.42
224.00,1254,9,51.82
224.00,1256,9,50.45
224.00,1752,9,51.84
224.00,1754,9,52.56
224.00,1754,9,52.49
224.00,1756,9,50.88
226.00,252,9,51.72
226.00,254,9,52.36
226.00,254,9,52.06
226.00,256,9,50.72
226.00,752,9,51.44
226.00,754,9,52.59
226.00,754,9,52.33
226.00,756,9,51.15
226.00,1252,9,50.26
226.00,1252,9,52.19
226.00,1254,9,52.67
226.00,1254,9,52.43
226.00,1256,9,50.98
226.00,1752,9,52.12
226.00,1754,9,53.13
226.00,1754,9,52.92
226.00,1756,9,51.40
228.00,252,9,50.44
228.00,252,9,52.42
228.00,254,9,53.35
228.00,254,9,53.15
228.00,256,9,51.80
228.00,752,9,50.24
228.00,752,9,52.63
228.00,754,9,53.65
228.00,754,9,53.37
228.00,756,9,51.81
228.00,1252,9,51.03
228.00,1252,9,53.07
228.00,1254,9,53.72
228.00,1254,9,53.38
228.00,1256,9,51.71
228.00,1752,9,50.97
228.00,1752,9,53.06
228.00,1754,9,54.18
228.00,1754,9,53.67
228.00,1756,9,51.99
230.00,252,9,50.95
230.00,252,9,53.29
230.00,254,9,54.11
230.00,254,9,53.94
230.00,256,9,52.56
230.00,256,9,50.37
230.00,752,9,51.05
230.00,752,9,53.45
230.00,754,9,54.32
230.00,754,9,54.04
230.00,756,9,52.80
230.00,756,9,50.95
230.00,1252,9,51.76
230.00,1252,9,53.88
230.00,1254,9,54.44
230.00,1254,9,54.08
230.00,1256,9,52.64
230.00,1256,9,50.85
230.00,1752,9,51.56
230.00,1752,9,53.87
230.00,1754,9,54.68
230.00,1754,9,54.12
230.00,1756,9,52.89
230.00,1756,9,50.88
232.00,753,8,50.10
232.00,754,8,50.03
232.00,1254,8,50.04
232.00,1753,8,50.08
232.00,1754,8,50.25
232.00,252,9,52.00
232.00,252,9,54.27
232.00,254,9,55.27
232.00,254,9,54.93
232.00,256,9,53.53
232.00,256,9,51.39
232.00,752,9,52.21
232.00,752,9,54.47
232.00,754,9,55.34
232.00,754,9,55.01
232.00,756,9,53.72
232.00,756,9,51.74
232.00,1252,9,52.77
232.00,1252,9,54.63
232.00,1254,9,55.38
232.00,1254,9,55.00
232.00,1256,9,53.60
232.00,1256,9,51.42
232.00,1752,9,52.47
232.00,1752,9,54.68
232.00,1754,9,55.56
232.00,1754,9,55.22
232.00,1756,9,53.93
232.00,1756,9,51.48
234.00,253,8,51.06
234.00,254,8,51.11
234.00,753,8,51.18
234.00,754,8,51.07
234.00,755,8,50.14
234.00,1252,8,50.03
234.00,1253,8,51.13
234.00,1254,8,51.06
234.00,1752,8,50.11
234.00,1753,8,51.15
234.00,1754,8,51.40
234.00,1755,8,50.09
234.00,252,9,53.36
234.00,252,9,55.76
234.00,254,9,56.52
234.00,254,9,56.13
234.00,256,9,54.37
234.00,256,9,52.11
234.00,750,9,50.16
234.00,752,9,53.60
234.00,752,9,55.82
234.00,754,9,56.49
234.00,754,9,56.19
234.00,756,9,54.70
234.00,756,9,52.23
234.00,1250,9,50.56
234.00,1252,9,53.96
234.00,1252,9,55.87
234.00,1254,9,56.59
234.00,1254,9,55.99
234.00,1256,9,54.33
234.00,1256,9,52.05
234.00,1750,9,50.27
234.00,1752,9,53.81
234.00,1752,9,55.97
234.00,1754,9,56.72
234.00,1754,9,56.45
234.00,1756,9,54.56
234.00,1756,9,52.03
236.00,252,8,51.28
236.00,253,8,52.58
236.00,254,8,52.42
236.00,255,8,50.99
236.00,752,8,51.05
236.00,753,8,52.63
236.00,754,8,52.53
236.00,755,8,51.26
236.00,1252,8,51.26
236.00,1253,8,52.37
236.00,1254,8,52.40
236.00,1255,8,50.90
236.00,1752,8,51.40
236.00,1753,8,52.64
236.00,1754,8,52.71
236.00,1755,8,51.19
236.00,250,9,51.23
236.00,252,9,54.86
236.00,252,9,57.41
236.00,254,9,58.05
236.00,254,9,57.46
236.00,256,9,55.46
236.00,256,9,52.88
236.00,750,9,51.44
236.00,752,9,54.95
236.00,752,9,57.14
236.00,754,9,58.16
236.00,754,9,57.52
236.00,756,9,55.74
236.00,756,9,52.92
236.00,1250,9,51.67
236.00,1252,9,55.29
236.00,1252,9,57.27
236.00,1254,9,57.97
236.00,1254,9,57.31
236.00,1256,9,55.40
236.00,1256,9,52.51
236.00,1750,9,51.56
236.00,1752,9,55.28
236.00,1752,9,57.40
236.00,1754,9,58.28
236.00,1754,9,57.61
236.00,1756,9,55.58
236.00,1756,9,52.50
238.00,251,8,50.35
238.00,252,8,52.93
238.00,253,8,53.88
238.00,254,8,53.43
238.00,255,8,51.66
238.00,751,8,50.14
238.00,752,8,52.84
238.00,753,8,53.96
238.00,754,8,53.45
238.00,755,8,51.62
238.00,1251,8,50.26
238.00,1252,8,52.84
238.00,1253,8,53.76
238.00,1254,8,53.34
238.00,1255,8,51.38
238.00,1751,8,50.42
238.00,1752,8,53.00
238.00,1753,8,54.13
238.00,1754,8,53.61
238.00,1755,8,51.49
238.00,250,9,53.22
238.00,252,9,56.92
238.00,252,9,59.13
238.00,254,9,59.24
238.00,254,9,58.27
238.00,256,9,55.71
238.00,256,9,52.29
238.00,750,9,53.33
238.00,752,9,56.70
238.00,752,9,58.86
238.00,754,9,59.44
238.00,754,9,58.20
238.00,756,9,55.81
238.00,756,9,52.19
238.00,1250,9,53.58
238.00,1252,9,57.06
238.00,1252,9,58.73
238.00,1254,9,59.23
238.00,1254,9,58.08
238.00,1256,9,55.42
238.00,1256,9,51.94
238.00,1750,9,53.50
238.00,1752,9,57.04
238.00,1752,9,59.10
238.00,1754,9,59.52
238.00,1754,9,58.22
238.00,1756,9,55.46
238.00,1756,9,52.01
240.00,251,8,52.42
240.00,252,8,54.64
240.00,253,8,55.43
240.00,254,8,54.37
240.00,255,8,51.66
240.00,751,8,52.21
240.00,752,8,54.58
240.00,753,8,55.41
240.00,754,8,54.22
240.00,755,8,51.80
240.00,1251,8,52.21
240.00,1252,8,54.60
240.00,1253,8,55.30
240.00,1254,8,54.16
240.00,1255,8,51.51
240.00,1751,8,52.41
240.00,1752,8,54.88
240.00,1753,8,55.36
240.00,1754,8,54.38
240.00,1755,8,51.51
240.00,250,9,50.60
240.00,250,9,55.60
240.00,252,9,59.05
240.00,252,9,60.65
240.00,254,9,60.45
240.00,254,9,58.65
240.00,256,9,55.25
240.00,256,9,50.93
240.00,750,9,50.59
240.00,750,9,55.51
240.00,752,9,58.80
240.00,752,9,60.53
240.00,754,9,60.49
240.00,754,9,58.67
240.00,756,9,55.39
240.00,756,9,50.77
240.00,1250,9,50.76
240.00,1250,9,55.60
240.00,1252,9,58.98
240.00,1252,9,60.45
240.00,1254,9,60.38
240.00,1254,9,58.32
240.00,1256,9,54.93
240.00,1256,9,50.40
240.00,1750,9,50.86
240.00,1750,9,55.69
240.00,1752,9,59.06
240.00,1752,9,60.70
240.00,1754,9,60.52
240.00,1754,9,58.48
240.00,1756,9,55.09
240.00,1756,9,50.60
242.00,252,7,50.04
242.00,252,7,51.04
242.00,752,7,50.18
242.00,752,7,50.82
242.00,1252,7,50.92
242.00,1752,7,50.29
242.00,1752,7,50.84
242.00,250,8,51.03
242.00,251,8,54.72
242.00,252,8,56.63
242.00,253,8,56.40
242.00,254,8,54.13
242.00,255,8,50.44
242.00,750,8,51.03
242.00,751,8,54.63
242.00,752,8,56.46
242.00,753,8,56.20
242.00,754,8,54.27
242.00,755,8,50.56
242.00,1250,8,50.93
242.00,1251,8,54.62
242.00,1252,8,56.49
242.00,1253,8,56.15
242.00,1254,8,54.03
242.00,1255,8,50.24
242.00,1750,8,51.24
242.00,1751,8,54.88
242.00,1752,8,56.54
242.00,1753,8,56.31
242.00,1754,8,54.12
242.00,1755,8,50.18
242.00,250,9,53.57
242.00,250,9,58.14
242.00,252,9,61.32
242.00,252,9,62.00
242.00,254,9,60.68
242.00,254,9,57.82
242.00,256,9,53.15
242.00,750,9,53.62
242.00,750,9,58.21
242.00,752,9,60.92
242.00,752,9,61.86
242.00,754,9,60.86
242.00,754,9,57.90
242.00,756,9,53.21
242.00,1250,9,53.61
242.00,1250,9,58.17
242.00,1252,9,61.13
242.00,1252,9,61.74
242.00,1254,9,60.63
242.00,1254,9,57.45
242.00,1256,9,52.83
242.00,1750,9,53.69
242.00,1750,9,58.43
242.00,1752,9,61.14
242.00,1752,9,62.02
242.00,1754,9,60.71
242.00,1754,9,57.55
242.00,1756,9,53.04
244.00,250,7,50.02
244.00,252,7,51.81
244.00,252,7,51.74
244.00,752,7,51.78
244.00,752,7,51.49
244.00,1252,7,51.78
244.00,1252,7,51.57
244.00,1752,7,51.91
244.00,1752,7,51.51
244.00,250,8,53.83
244.00,251,8,56.87
244.00,252,8,57.68
244.00,253,8,56.48
244.00,254,8,52.84
244.00,750,8,53.83
244.00,751,8,56.75
244.00,752,8,57.60
244.00,753,8,56.30
244.00,754,8,52.94
244.00,1250,8,53.75
244.00,1251,8,56.72
244.00,1252,8,57.67
244.00,1253,8,56.09
244.00,1254,8,52.71
244.00,1750,8,53.83
244.00,1751,8,56.90
244.00,1752,8,57.67
244.00,1753,8,56.28
244.00,1754,8,52.76
244.00,248,9,50.76
244.00,250,9,56.59
244.00,250,9,60.68
244.00,252,9,62.73
244.00,252,9,62.41
244.00,254,9,60.01
244.00,254,9,55.68
244.00,748,9,50.83
244.00,750,9,56.67
244.00,750,9,60.58
244.00,752,9,62.58
244.00,752,9,62.41
244.00,754,9,60.04
244.00,754,9,55.66
244.00,1248,9,51.01
244.00,1250,9,56.49
244.00,1250,9,60.73
244.00,1252,9,62.62
244.00,1252,9,62.19
244.00,1254,9,59.73
244.00,1254,9,55.33
244.00,1748,9,50.97
244.00,1750,9,56.68
244.00,1750,9,60.77
244.00,1752,9,62.66
244.00,1752,9,62.44
244.00,1754,9,59.84
244.00,1754,9,55.46
246.00,250,7,52.02
246.00,252,7,52.82
246.00,252,7,51.20
246.00,750,7,51.87
246.00,752,7,52.67
246.00,752,7,51.19
246.00,1250,7,51.70
246.00,1252,7,52.65
246.00,1252,7,50.96
246.00,1750,7,51.95
246.00,1752,7,52.75
246.00,1752,7,51.03
246.00,249,8,52.21
246.00,250,8,56.40
246.00,251,8,58.26
246.00,252,8,57.88
246.00,253,8,55.12
246.00,254,8,50.11
246.00,749,8,52.21
246.00,750,8,56.33
246.00,751,8,58.13
246.00,752,8,57.87
246.00,753,8,54.99
246.00,754,8,50.15
246.00,1249,8,52.24
246.00,1250,8,56.15
246.00,1251,8,58.15
246.00,1252,8,57.73
246.00,1253,8,54.78
246.00,1749,8,52.26
246.00,1750,8,56.34
246.00,1751,8,58.30
246.00,1752,8,57.83
246.00,1753,8,54.88
246.00,1754,8,50.14
246.00,248,9,54.45
246.00,250,9,59.63
246.00,250,9,62.64
246.00,252,9,63.33
246.00,252,9,61.81
246.00,254,9,57.80
246.00,254,9,52.22
246.00,748,9,54.42
246.00,750,9,59.51
246.00,750,9,62.60
246.00,752,9,63.33
246.00,752,9,61.67
246.00,754,9,57.88
246.00,754,9,52.12
246.00,1248,9,54.50
246.00,1250,9,59.39
246.00,1250,9,62.60
246.00,1252,9,63.24
246.00,1252,9,61.55
246.00,1254,9,57.57
246.00,1254,9,51.84
246.00,1748,9,54.47
246.00,1750,9,59.55
246.00,1750,9,62.70
246.00,1752,9,63.38
246.00,1752,9,61.69
246.00,1754,9,57.72
246.00,1754,9,52.09
248.00,250,7,51.50
248.00,250,7,53.22
248.00,252,7,52.38
248.00,750,7,51.61
248.00,750,7,53.27
248.00,752,7,52.25
248.00,1250,7,51.40
248.00,1250,7,52.90
248.00,1252,7,52.28
248.00,1750,7,51.42
248.00,1750,7,53.18
248.00,1752,7,52.33
248.00,248,8,50.24
248.00,249,8,55.30
248.00,250,8,58.25
248.00,251,8,58.61
248.00,252,8,56.68
248.00,253,8,52.19
248.00,748,8,50.23
248.00,749,8,55.33
248.00,750,8,58.29
248.00,751,8,58.64
248.00,752,8,56.47
248.00,753,8,52.16
248.00,1248,8,50.34
248.00,1249,8,55.19
248.00,1250,8,58.01
248.00,1251,8,58.54
248.00,1252,8,56.49
248.00,1253,8,52.09
248.00,1748,8,50.21
248.00,1749,8,55.25
248.00,1750,8,58.25
248.00,1751,8,58.61
248.00,1752,8,56.55
248.00,1753,8,52.13
248.00,248,9,52.08
248.00,248,9,57.94
248.00,250,9,62.05
248.00,250,9,63.65
248.00,252,9,62.91
248.00,252,9,59.67
248.00,254,9,54.16
248.00,748,9,52.03
248.00,748,9,58.06
248.00,750,9,62.01
248.00,750,9,63.67
248.00,752,9,62.86
248.00,752,9,59.50
248.00,754,9,54.34
248.00,1248,9,52.21
248.00,1248,9,57.95
248.00,1250,9,61.80
248.00,1250,9,63.65
248.00,1252,9,62.74
248.00,1252,9,59.44
248.00,1254,9,54.12
248.00,1748,9,51.98
248.00,1748,9,57.94
248.00,1750,9,62.08
248.00,1750,9,63.69
248.00,1752,9,62.84
248.00,1752,9,59.57
248.00,1754,9,54.23
250.00,248,7,50.69
250.00,250,7,53.12
250.00,250,7,53.18
250.00,252,7,50.60
250.00,748,7,50.63
250.00,750,7,53.26
250.00,750,7,53.06
250.00,752,7,50.61
250.00,1248,7,50.51
250.00,1250,7,52.87
250.00,1250,7,52.96
250.00,1252,7,50.60
250.00,1748,7,50.42
250.00,1750,7,53.07
250.00,1750,7,53.09
